turn, fish, shark
608, 6392, 3013
609, 6439, 3054
610, 6468, 2983
611, 6446, 3205
612, 6355, 3174
613, 6358, 3192
614, 6356, 3183
615, 6352, 3065
616, 6399, 3010
617, 6377, 3123
618, 6293, 3377
619, 6216, 3279
620, 6229, 3402
621, 6161, 3390
622, 6113, 3325
623, 6094, 3179
624, 6121, 3224
625, 6145, 3121
626, 6191, 3366
627, 6118, 3284
628, 6090, 3182
629, 6067, 3130
630, 6100, 2989
631, 6124, 2931
632, 6176, 2994
633, 6155, 3202
634, 6095, 3068
635, 6127, 3140
636, 6098, 3177
637, 5951, 3161
638, 5943, 3062
639, 5912, 3156
640, 5815, 3037
641, 5775, 3348
642, 5647, 3298
643, 5583, 3261
644, 5449, 3247
645, 5401, 3209
646, 5385, 3246
647, 5276, 3312
648, 5185, 3516
649, 5051, 3385
650, 4989, 3505
651, 4863, 3605
652, 4715, 3557
653, 4615, 3450
654, 4576, 3537
655, 4542, 3435
656, 4444, 3677
657, 4328, 3631
658, 4200, 3639
659, 4076, 3600
660, 4039, 3477
661, 3954, 3429
662, 3849, 3487
663, 3733, 3585
664, 3610, 3397
665, 3548, 3520
666, 3445, 3524
667, 3303, 3400
668, 3280, 3213
669, 3306, 3243
670, 3277, 3104
671, 3241, 3256
672, 3195, 3137
673, 3232, 3081
674, 3322, 3030
675, 3488, 2881
676, 3640, 2805
677, 3826, 2874
678, 3949, 2947
679, 4082, 2758
680, 4305, 2810
681, 4499, 2769
682, 4700, 2627
683, 4869, 2416
684, 5088, 2421
685, 5293, 2315
686, 5488, 2393
687, 5665, 2299
688, 5866, 2279
689, 5986, 2259
690, 6150, 2146
691, 6346, 2084
692, 6536, 2155
693, 6675, 2264
694, 6929, 2169
695, 7190, 2242
696, 7426, 2284
697, 7601, 2228
698, 7832, 2131
699, 8045, 2193
700, 8242, 2124
701, 8450, 2222
702, 8566, 2181
703, 8712, 2169
704, 8846, 2187
705, 8907, 2163
706, 9011, 2179
707, 9060, 2281
708, 9085, 2427
709, 9098, 2355
710, 9159, 2466
711, 9094, 2602
712, 9043, 2626
713, 9032, 2592
714, 9023, 2733
715, 9000, 2686
716, 8898, 2851
717, 8745, 2874
718, 8633, 2955
719, 8497, 2991
720, 8394, 2990
721, 8290, 3000
722, 8094, 3132
723, 7865, 3338
724, 7650, 3237
725, 7436, 3387
726, 7155, 3578
727, 6912, 3574
728, 6715, 3480
729, 6617, 3606
730, 6488, 3498
731, 6288, 3750
732, 6012, 3690
733, 5780, 3688
734, 5562, 3698
735, 5422, 3567
736, 5342, 3484
737, 5166, 3526
738, 4969, 3721
739, 4758, 3519
740, 4612, 3621
741, 4403, 3650
742, 4179, 3549
743, 4077, 3373
744, 3986, 3311
745, 3876, 3174
746, 3804, 3362
747, 3592, 3222
748, 3395, 3212
749, 3252, 3181
750, 3147, 3009
751, 3066, 2904
752, 2968, 2927
753, 2797, 3108
754, 2614, 2964
755, 2479, 3036
756, 2268, 3054
757, 2061, 2957
758, 1974, 2765
759, 1929, 2738
760, 1864, 2637
761, 1815, 2777
762, 1747, 2673
763, 1655, 2661
764, 1577, 2598
765, 1544, 2436
766, 1563, 2259
767, 1539, 2255
768, 1508, 2380
769, 1416, 2244
770, 1395, 2288
771, 1388, 2192
772, 1358, 2108
773, 1350, 1904
774, 1381, 1867
775, 1399, 1774
776, 1457, 1790
777, 1489, 1643
778, 1539, 1602
779, 1596, 1559
780, 1630, 1376
781, 1752, 1255
782, 1877, 1228
783, 1994, 1314
784, 2147, 1238
785, 2312, 1229
786, 2504, 1151
787, 2718, 1078
788, 2972, 962
789, 3270, 955
790, 3564, 910
791, 3875, 935
792, 4195, 889
793, 4520, 823
794, 4874, 833
795, 5269, 812
796, 5672, 781
797, 6086, 809
798, 6492, 897
799, 6899, 871
800, 7354, 897
801, 7809, 900
802, 8269, 874
803, 8778, 834
804, 9276, 858
805, 9787, 835
806, 10322, 908
807, 10729, 898
808, 11140, 914
809, 11483, 916
810, 11782, 901
811, 11946, 915
812, 12054, 951
813, 12081, 1062
814, 12081, 1036
815, 12081, 1078
816, 12094, 1107
817, 12078, 1083
818, 12104, 1062
819, 12108, 1122
820, 12093, 1103
821, 12035, 1223
822, 11962, 1200
823, 11914, 1247
824, 11895, 1275
825, 11910, 1273
826, 11887, 1312
827, 11838, 1358
828, 11728, 1530
829, 11645, 1498
830, 11574, 1551
831, 11467, 1587
832, 11358, 1555
833, 11349, 1517
834, 11278, 1596
835, 11231, 1568
836, 11165, 1710
837, 11042, 1698
838, 10914, 1735
839, 10799, 1739
840, 10746, 1723
841, 10682, 1756
842, 10579, 1813
843, 10448, 1994
844, 10302, 1933
845, 10229, 1982
846, 10100, 1974
847, 10006, 1926
848, 9961, 1841
849, 9891, 1910
850, 9845, 1851
851, 9777, 1947
852, 9678, 1906
853, 9577, 1878
854, 9507, 1840
855, 9449, 1790
856, 9390, 1803
857, 9273, 1872
858, 9116, 2022
859, 9010, 1942
860, 8897, 2017
861, 8780, 2052
862, 8678, 2003
863, 8597, 1920
864, 8529, 1979
865, 8447, 1935
866, 8403, 2048
867, 8325, 2010
868, 8260, 2016
869, 8173, 1995
870, 8137, 1934
871, 8104, 1923
872, 8046, 2037
873, 7908, 2158
874, 7818, 2058
875, 7713, 2141
876, 7563, 2208
877, 7459, 2140
878, 7428, 2027
879, 7418, 2062
880, 7413, 2011
881, 7393, 2159
882, 7336, 2132
883, 7352, 2173
884, 7373, 2132
885, 7466, 2078
886, 7533, 2102
887, 7511, 2284
888, 7481, 2434
889, 7561, 2354
890, 7636, 2448
891, 7726, 2549
892, 7803, 2491
893, 7969, 2393
894, 8088, 2439
895, 8230, 2384
896, 8283, 2579
897, 8232, 2513
898, 8184, 2527
899, 8157, 2485
900, 8186, 2426
901, 8237, 2452
902, 8171, 2646
903, 8050, 2814
904, 7998, 2749
905, 7950, 2918
906, 7823, 2986
907, 7724, 2928
908, 7682, 2858
909, 7709, 2933
910, 7710, 2853
911, 7693, 2970
912, 7655, 2943
913, 7565, 3062
914, 7489, 3007
915, 7484, 2880
916, 7471, 2868
917, 7379, 3103
918, 7193, 3283
919, 7042, 3175
920, 6987, 3300
921, 6924, 3351
922, 6829, 3245
923, 6858, 3085
924, 6883, 3186
925, 6863, 3088
926, 6902, 3153
927, 6917, 3064
928, 6843, 3166
929, 6772, 3098
930, 6751, 2993
931, 6701, 3021
932, 6555, 3295
933, 6295, 3527
934, 6105, 3382
935, 6010, 3500
936, 5877, 3589
937, 5727, 3502
938, 5653, 3330
939, 5611, 3448
940, 5488, 3362
941, 5467, 3451
942, 5408, 3319
943, 5282, 3370
944, 5140, 3247
945, 5093, 3164
946, 5064, 3153
947, 4960, 3387
948, 4804, 3585
949, 4720, 3411
950, 4632, 3500
951, 4478, 3535
952, 4342, 3416
953, 4320, 3243
954, 4301, 3284
955, 4290, 3159
956, 4267, 3222
957, 4180, 3021
958, 4139, 3070
959, 4070, 3004
960, 4122, 2874
961, 4153, 2903
962, 4177, 3025
963, 4119, 3208
964, 4091, 3081
965, 4175, 3217
966, 4188, 3280
967, 4227, 3155
968, 4357, 3005
969, 4540, 3070
970, 4644, 2978
971, 4798, 3009
972, 4963, 2902
973, 5004, 3101
974, 4996, 3030
975, 5103, 2863
976, 5268, 2863
977, 5353, 3003
978, 5390, 3222
979, 5433, 3115
980, 5531, 3212
981, 5611, 3299
982, 5678, 3208
983, 5793, 2972
984, 5899, 3081
985, 6018, 2974
986, 6086, 3025
